t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total,,kinE_wagen,kinE_bumper,kinE_total
4.699998,0,0,0.5104275,0,0,-0.001541026,0,0,0.06042753,-1.208551,-0.8456995,0,,-0.00061641,0,-0.00061641,,4.74952E-07,0,4.74952E-07
4.719998,0,0,0.5091882,0,0,-0.06196854,0,0,0.05918817,-1.183764,-0.8456995,0,,-0.024787416,0,-0.024787416,,0.00076802,0,0.00076802
4.739998,0,0,0.5067651,0,0,-0.1211567,0,0,0.05676506,-1.135301,-0.8456995,0,,-0.04846268,0,-0.04846268,,0.002935789,0,0.002935789
4.759998,0,0,0.5032066,0,0,-0.1779217,0,0,0.05320661,-1.064132,-0.8456995,0,,-0.07116868,0,-0.07116868,,0.006331226,0,0.006331226
4.779998,0,0,0.498584,0,0,-0.2311283,0,0,0.04858403,-0.9716806,-0.8456995,0,,-0.09245132,0,-0.09245132,,0.010684058,0,0.010684058
4.799998,0,0,0.4929898,0,0,-0.2797123,0,0,0.04298978,-0.8597955,-0.8456995,0,,-0.11188492,0,-0.11188492,,0.015647794,0,0.015647794
4.819998,0,0,0.4865357,0,0,-0.3227021,0,0,0.03653572,-0.7307145,-0.8456995,0,,-0.12908084,0,-0.12908084,,0.020827329,0,0.020827329
4.839998,0,0,0.479351,0,0,-0.3592378,0,0,0.02935098,-0.5870196,-0.8456995,0,,-0.14369512,0,-0.14369512,,0.025810359,0,0.025810359
4.859998,0,0,0.4715792,0,0,-0.3885888,0,0,0.02157922,-0.4315844,-0.8456995,0,,-0.15543552,0,-0.15543552,,0.030200251,0,0.030200251
4.879998,0,0,0.4633759,0,0,-0.410168,0,0,0.01337586,-0.2675173,-0.8456995,0,,-0.1640672,0,-0.1640672,,0.033647558,0,0.033647558
4.899998,0,0,0.454905,0,0,-0.4235438,0,0,0.004905,-0.09810001,-0.8456995,0,,-0.16941752,0,-0.16941752,,0.03587787,0,0.03587787
4.919998,0,0,0.446336,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
4.939998,0,0,0.4377671,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
4.959998,0,0,0.4291981,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
4.979998,0,0,0.4206291,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
4.999998,0,0,0.4120601,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.019998,0,0,0.4034912,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.039998,0,0,0.3949222,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.059998,0,0,0.3863532,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.079998,0,0,0.3777843,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.099998,0,0,0.3692153,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.119998,0,0,0.3606463,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.139998,0,0,0.3520773,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.159998,0,0,0.3435084,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.179998,0,0,0.3349394,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.199998,0,0,0.3263704,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.219998,0,0,0.3178014,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.239998,0,0,0.3092325,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.259998,0,0,0.3006635,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.279998,0,0,0.2920945,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.299998,0,0,0.2835256,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.319998,0,0,0.2749566,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.339998,0,0,0.2663876,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.359998,0,0,0.2578186,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.379998,0,0,0.2492497,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.399998,0,0,0.2406807,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.419998,0,0,0.2321117,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.439998,0,0,0.2235427,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.459998,0,0,0.2149738,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.479998,0,0,0.2064048,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.499998,0,0,0.1978358,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.519998,0,0,0.1892669,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.539998,0,0,0.1806979,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.559998,0,0,0.1721289,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.579998,0,0,0.1635599,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.599998,0,0,0.154991,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.619998,0,0,0.146422,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.639998,0,0,0.137853,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.659998,0,0,0.1292841,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.679998,0,0,0.1207151,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.699998,0,0,0.1121461,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.719998,0,0,0.1035771,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.739998,0,0,0.09500816,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.759998,0,0,0.08643919,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.779998,0,0,0.07787022,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.799998,0,0,0.06930125,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.819998,0,0,0.06073228,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.839998,0,0,0.0521633,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.859998,0,0,0.04359433,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.879998,0,0,0.03502536,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.899998,0,0,0.02645639,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.919998,0,0,0.01788741,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.939998,0,0,0.00931844,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.959998,0,0,0.000749467,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.979998,0,0,-0.007819506,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
5.999998,0,0,-0.01638848,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.019998,0,0,-0.02495745,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.039998,0,0,-0.03352642,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.059998,0,0,-0.0420954,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.079998,0,0,-0.05066437,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.099998,0,0,-0.05923334,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.119998,0,0,-0.06780232,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.139998,0,0,-0.07637129,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.159998,0,0,-0.08494026,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.179998,0,0,-0.09350923,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.199998,0,0,-0.1020782,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.219998,0,0,-0.1106472,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.239998,0,0,-0.1192162,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.259998,0,0,-0.1277851,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.279998,0,0,-0.1363541,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.299998,0,0,-0.1449231,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.319998,0,0,-0.153492,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
6.339998,0,0,-0.162061,0,0,-0.4284488,0,0,0,0,-0.8456995,0,,-0.17137952,0,-0.17137952,,0.036713675,0,0.036713675
